name,address,latitude,longitude,placeId,types,phone,website,rating,reviewCount,businessStatus,openingHours,source,query,city,createdAt,updatedAt,reviews,reviewSummary,hours,originalPhone,originalWebsite,enrichedPhones,enrichedWebsites,enrichedEmails,enrichedSocial,enrichedHours,enrichmentSources,enrichmentConfidence,enrichmentDate
SOTRACO JAS SERVICE,"1/ Zoungoudo, Bohicon, Benin",7.1797349,2.071453,ChIJwezFWcoeJRARw2oheWxJ3L0,real_estate_agency;point_of_interest;establishment,,,4.7,3,OPERATIONAL,,google_places,manufacturer,Abomey,2025-06-14T22:06:21.481Z,2025-06-14T22:06:21.481Z,,,,,,,,,{},,,0,2025-09-26T19:39:16.636Z
CTA-ELEVAGE,"229, Bohicon, Benin",7.179734700000001,2.071453,ChIJcxNk63cZJRARCnJGcK6M87g,food;point_of_interest;establishment,,,0,0,OPERATIONAL,,google_places,manufacturer,Abomey,2025-06-14T22:06:21.481Z,2025-06-14T22:06:21.481Z,,,,,,,,,{},,,0,2025-09-26T19:39:22.587Z
Shademe,"229, Bohicon, Benin",7.186285,2.0524188,ChIJpTzHvccbJRARnrnVQryH4s0,food;point_of_interest;establishment,,,0,0,OPERATIONAL,,google_places,manufacturer,Abomey,2025-06-14T22:06:21.481Z,2025-06-14T22:06:21.481Z,,,,,,,,,{},,,0,2025-09-26T19:39:37.848Z
Union des Leaders,"229 65024052, Bohicon sodohome alikpa, m/ALLAKPE, Bohicon, Benin",7.177025500000001,2.0963129,ChIJl_oW07oZJRAR814EqVcH6hs,food;point_of_interest;establishment,,,0,0,OPERATIONAL,,google_places,manufacturer,Abomey,2025-06-14T22:06:21.481Z,2025-06-14T22:06:21.481Z,,,,,,,,,{},,,0,2025-09-26T19:39:47.056Z
Bénin Teck Company,"RNI2, Houegbo, Benin",6.8234591,2.1938119,ChIJV0zFhdLBJBARKpQNgxx-AeQ,general_contractor;point_of_interest;establishment,,,0,0,OPERATIONAL,,google_places,manufacturer,Abomey,2025-06-14T22:06:21.481Z,2025-06-14T22:06:21.481Z,,,,,,,,,{},,,0,2025-09-26T19:39:47.316Z
Yaff,"C8JP+VW7, Abomey Calavi, Benin",6.4321698,2.3373085,ChIJr9qc9x-pJBARwcHUgVBbI4U,point_of_interest;establishment,,,0,0,OPERATIONAL,,google_places,manufacturer,Abomey,2025-06-14T22:06:21.481Z,2025-06-14T22:06:21.481Z,,,,,,,,,{},,,0,2025-09-26T19:39:52.106Z
Ferme Agro-challeng,"53J7+5FX, Bohicon, Benin",7.179854000000001,2.0635193,ChIJCZLbIgAbJRARVwlNvLkFMNM,food;point_of_interest;establishment,,,0,0,OPERATIONAL,,google_places,manufacturer,Abomey,2025-06-14T22:06:21.481Z,2025-06-14T22:06:21.481Z,,,,,,,,,{},,,0,2025-09-26T19:39:52.434Z
Ferme Agro-Sylvopastorale Saint Firmin de Kinta Gare,"32HJ+X3V, Agbangnizoun, Benin",7.0799824,2.0301784,ChIJfVyg3FTjJBARQvAsLoUCzQg,food;point_of_interest;establishment,,,4,1,OPERATIONAL,,google_places,manufacturer,Abomey,2025-06-14T22:06:21.481Z,2025-06-14T22:06:21.481Z,,,,,,,,,{},,,0,2025-09-26T19:39:57.068Z
OuDou et fils,"53H8+9P4, Bohicon, Benin",7.1784683,2.0668261,ChIJfRQNqWcZJRARC_a5xi-rOSg,point_of_interest;establishment,,,0,0,OPERATIONAL,,google_places,manufacturer,Abomey,2025-06-14T22:06:21.481Z,2025-06-14T22:06:21.481Z,,,,,,,,,{},,,0,2025-09-26T19:39:57.489Z
AYE BUISINESS CENTER,"0066, Bohicon, Benin",7.178542999999999,2.0716683,ChIJkyxzfEgZJRAR0VBxZWuNdGc,food;point_of_interest;establishment,,,0,0,OPERATIONAL,,google_places,manufacturer,Abomey,2025-06-14T22:06:21.481Z,2025-06-14T22:06:21.481Z,,,,,,,,,{},,,0,2025-09-26T19:40:01.357Z
Dagbedji Eco Tech Center,"02 BP 150, Bohicon, Benin",7.271069499999999,2.0606076,ChIJG3lgPjARJRARa3rPlaXzj1M,point_of_interest;establishment,,,0,0,OPERATIONAL,,google_places,manufacturer,Abomey,2025-06-14T22:06:21.481Z,2025-06-14T22:06:21.481Z,,,,,,,,,{},,,0,2025-09-26T19:40:02.464Z
Don de Dieu semassa,"3XF7+2FW, Agbangnizoun, Benin",7.072622699999999,1.9636914,ChIJ2fdYXAD9JBARZu-pFvIKgpE,food;point_of_interest;establishment,,,0,0,OPERATIONAL,,google_places,manufacturer,Abomey,2025-06-14T22:06:21.481Z,2025-06-14T22:06:21.481Z,,,,,,,,,{},,,0,2025-09-26T19:40:10.031Z
AKPIDJO,"31, Cové, Benin",7.2190985,2.3382682,ChIJU3xErvAvJRAR4TuCA4nIKO0,food;point_of_interest;establishment,,,0,0,OPERATIONAL,,google_places,manufacturer,Abomey,2025-06-14T22:06:21.481Z,2025-06-14T22:06:21.481Z,,,,,,,,,{},,,0,2025-09-26T19:40:10.993Z
Buvette ESI/ Pro Dogbo e.V.,"RQ7M+4CM, Unnamed Road, Dogbo, Benin",6.812801299999999,1.783487,ChIJx7FsJL9fJBAREbN6vkREUlU,food;point_of_interest;establishment,,,4.6,25,OPERATIONAL,,google_places,manufacturer,Abomey,2025-06-14T22:06:21.481Z,2025-06-14T22:06:21.481Z,,,,,,,,,{},,,0,2025-09-26T19:40:11.309Z
